City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Praia Da Vitoria,38.7333,-27.0667,62.01,88,90,9.62,PT,overcast clouds
80,Tecoanapa,16.5167,-98.75,88.52,52,3,12.06,MX,clear sky
81,Esna,25.2934,32.554,82.4,24,0,4.61,EG,clear sky
82,Makaleng,-20.9,27.2833,67.62,27,0,6.33,BW,clear sky
83,Ulladulla,-35.35,150.4667,55.4,100,75,1.63,AU,broken clouds
84,Kolondieba,11.0882,-6.8926,85.57,42,44,8.88,ML,scattered clouds
85,Luis Correia,-2.8792,-41.6669,87.8,74,75,12.66,BR,broken clouds
86,Vestmannaeyjar,63.4427,-20.2734,46.4,71,0,19.57,IS,clear sky
87,Mildura,-34.2,142.15,44.6,76,0,2.13,AU,clear sky
88,Zeya,53.75,127.2667,38.68,94,14,4.52,RU,few clouds
89,Longyearbyen,78.2186,15.6401,17.6,62,75,3.44,SJ,broken clouds
90,Hobart,-42.8794,147.3294,50.0,81,67,9.22,AU,broken clouds
91,Jagdalpur,19.0667,82.0333,79.81,23,0,1.21,IN,clear sky
92,Kalmunai,7.4167,81.8167,80.15,82,96,6.46,LK,overcast clouds
93,Coquimbo,-29.9533,-71.3436,66.2,59,0,8.05,CL,clear sky
94,Bethel,41.3712,-73.414,68.0,24,1,10.36,US,clear sky
95,Olafsvik,64.8945,-23.7142,44.31,79,99,1.45,IS,overcast clouds
96,Caravelas,-17.7125,-39.2481,80.62,63,9,8.61,BR,clear sky
97,Kieta,-6.2167,155.6333,78.28,81,94,3.71,PG,overcast clouds
98,Khatanga,71.9667,102.5,20.43,83,99,8.48,RU,overcast clouds
99,Adrar,20.5022,-10.0711,92.53,15,78,6.6,MR,broken clouds
100,Kaitangata,-46.2817,169.8464,41.0,77,88,1.99,NZ,overcast clouds
101,Kaduy,59.2,37.15,37.4,93,75,2.24,RU,broken clouds
102,Port Alfred,-33.5906,26.891,66.15,81,5,15.77,ZA,clear sky
103,Neustadt,49.7117,12.0872,55.4,33,1,5.75,DE,clear sky
104,Souillac,-20.5167,57.5167,77.0,88,75,12.66,MU,moderate rain
105,Butaritari,3.0707,172.7902,81.86,77,30,9.98,KI,light rain
106,San Diego,32.7153,-117.1573,62.6,45,75,9.22,US,broken clouds
107,Sanmenxia,34.7747,111.1814,56.17,56,100,6.06,CN,light rain
108,Opuwo,-18.0607,13.84,71.87,33,43,2.1,NA,scattered clouds
109,Baruun-Urt,46.6806,113.2792,30.04,44,0,15.3,MN,clear sky
110,Yellowknife,62.456,-114.3525,14.0,52,20,13.8,CA,few clouds
111,Airai,-8.9266,125.4092,56.3,74,20,1.16,TL,few clouds
112,Vardo,70.3705,31.1107,28.4,86,75,10.36,NO,light snow
113,Isoka,-10.1606,32.6335,62.71,94,90,1.19,ZM,light rain
114,Elliot Lake,46.3834,-82.6331,53.6,58,20,12.66,CA,few clouds
115,Urumqi,43.801,87.6005,59.0,31,0,4.47,CN,clear sky
116,Choya,52.0108,86.5467,44.85,95,100,5.7,RU,light rain
117,Grand Gaube,-20.0064,57.6608,78.01,81,100,5.99,MU,moderate rain
118,Port Lincoln,-34.7333,135.8667,61.56,69,99,4.9,AU,overcast clouds
119,Kruisfontein,-34.0033,24.7314,61.0,79,6,1.01,ZA,clear sky
120,Severo-Kurilsk,50.6789,156.125,33.84,95,100,17.22,RU,overcast clouds
121,Saint-Augustin,51.226,-58.6502,37.51,97,100,15.3,CA,overcast clouds
122,Timon,-5.0942,-42.8367,89.6,58,20,6.91,BR,few clouds
123,Gladstone,-23.85,151.25,62.6,72,1,5.75,AU,clear sky
124,Zyryanka,65.75,150.85,13.39,90,16,7.81,RU,few clouds
125,Rafaela,-31.2503,-61.4867,75.99,36,0,4.0,AR,clear sky
126,Ena,35.4498,137.4128,55.99,76,75,1.14,JP,light rain
127,Tiksi,71.6872,128.8694,-3.17,99,68,7.56,RU,broken clouds
128,Dharmavaram,14.4333,77.7167,88.97,31,29,6.24,IN,scattered clouds
129,Tacuarembo,-31.7333,-55.9833,66.74,49,0,5.86,UY,clear sky
130,Port Hedland,-20.3167,118.5667,69.8,35,0,8.05,AU,clear sky
131,Camacha,33.0833,-16.3333,66.2,72,40,14.97,PT,scattered clouds
132,Castro,-24.7911,-50.0119,70.57,47,0,5.26,BR,clear sky
133,Clarence Town,-32.5833,151.7833,63.0,100,40,8.05,AU,mist
134,Puerto Del Rosario,28.5004,-13.8627,75.2,50,40,5.75,ES,scattered clouds
135,Thompson,55.7435,-97.8558,24.8,58,75,19.57,CA,broken clouds
136,Yazoo City,32.8551,-90.4056,82.4,65,75,11.5,US,broken clouds
137,Santa Fe,-31.6333,-60.7,77.0,45,0,5.99,AR,clear sky
138,Alta Floresta,-9.8756,-56.0861,87.8,66,40,3.44,BR,scattered clouds
139,Arraial Do Cabo,-22.9661,-42.0278,80.6,78,40,13.8,BR,scattered clouds
140,Sept-Iles,50.2001,-66.3821,50.0,71,90,8.05,CA,overcast clouds
141,Upernavik,72.7868,-56.1549,34.14,87,100,19.17,GL,overcast clouds
142,Luwuk,-0.9516,122.7875,76.91,86,24,3.11,ID,few clouds
143,Fortuna,40.5982,-124.1573,62.01,76,40,9.22,US,scattered clouds
144,Sharanga,57.1775,46.5396,38.62,96,100,5.08,RU,light rain
145,Loralai,30.3705,68.598,73.2,24,23,1.72,PK,few clouds
146,Champerico,14.3,-91.9167,91.4,52,20,6.91,GT,few clouds
147,Petropavlovsk-Kamchatskiy,53.0452,158.6483,35.6,100,75,8.95,RU,broken clouds
