City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Bredasdorp,ZA,2021-04-23 00:19:55,-34.5322,20.0403,50.0,93,0,2.3
68,Punta Arenas,CL,2021-04-23 00:22:45,-53.15,-70.9167,46.4,93,75,5.75
69,Rabo De Peixe,PT,2021-04-23 00:22:45,37.8,-25.5833,59.0,72,40,35.68
70,Worland,US,2021-04-23 00:22:46,44.0169,-107.9554,60.01,19,1,3.44
71,Butaritari,KI,2021-04-23 00:22:46,3.0707,172.7902,82.63,74,65,10.07
72,Constitucion,CL,2021-04-23 00:22:46,-35.3333,-72.4167,54.18,85,88,10.94
73,Vaini,TO,2021-04-23 00:22:46,-21.2,-175.2,86.0,79,75,6.91
74,Cidreira,BR,2021-04-23 00:22:47,-30.1811,-50.2056,69.84,72,1,15.28
75,Pacific Grove,US,2021-04-23 00:22:47,36.6177,-121.9166,55.4,71,90,11.5
76,Kodiak,US,2021-04-23 00:22:47,57.79,-152.4072,42.8,93,90,11.5
77,Guisa,CU,2021-04-23 00:22:48,20.255,-76.5386,78.8,69,20,13.8
78,Road Town,VG,2021-04-23 00:22:48,18.4167,-64.6167,79.0,78,20,9.22
79,Hasaki,JP,2021-04-23 00:19:23,35.7333,140.8333,59.0,58,20,11.5
80,Limbdi,IN,2021-04-23 00:22:48,22.5667,71.8,80.73,51,20,8.48
81,Carupano,VE,2021-04-23 00:22:49,10.6678,-63.2585,77.29,80,24,11.23
82,Manado,ID,2021-04-23 00:22:49,1.487,124.8455,82.4,78,20,1.14
83,Kysyl-Syr,RU,2021-04-23 00:22:50,63.8986,122.7617,28.78,94,100,9.48
84,Aleppo,SY,2021-04-23 00:22:50,36.25,37.5,56.3,65,0,9.86
85,Dokka,NO,2021-04-23 00:22:50,60.84,10.0618,36.0,46,46,3.74
86,Fort Erie,CA,2021-04-23 00:20:39,42.9001,-78.9329,37.99,75,75,6.91
87,Puerto Leguizamo,CO,2021-04-23 00:22:51,-0.1934,-74.7819,74.08,93,28,1.52
88,Mandalgovi,MN,2021-04-23 00:21:03,45.7625,106.2708,46.26,51,99,18.12
89,Namatanai,PG,2021-04-23 00:22:51,-3.6667,152.4333,83.26,72,97,2.95
90,Roald,NO,2021-04-23 00:22:51,62.5833,6.1333,35.6,87,75,6.91
91,Mildura,AU,2021-04-23 00:22:52,-34.2,142.15,62.6,59,40,9.22
92,Cape Town,ZA,2021-04-23 00:20:04,-33.9258,18.4232,57.99,100,90,14.97
93,Bereznik,RU,2021-04-23 00:22:52,62.8551,42.7072,38.82,90,100,3.94
94,Bethel,US,2021-04-23 00:18:50,41.3712,-73.414,39.99,52,77,1.99
95,Acapulco,MX,2021-04-23 00:22:53,16.8634,-99.8901,82.4,69,20,10.36
96,Denpasar,ID,2021-04-23 00:22:53,-8.65,115.2167,80.6,69,20,2.3
97,Karratha,AU,2021-04-23 00:22:53,-20.7377,116.8463,78.13,25,0,15.86
98,Ushuaia,AR,2021-04-23 00:21:34,-54.8,-68.3,42.8,87,75,12.66
99,Saldanha,ZA,2021-04-23 00:20:17,-33.0117,17.9442,59.0,88,0,3.44
100,Tilichiki,RU,2021-04-23 00:19:29,60.4667,166.1,27.37,82,55,3.33
101,Indian Head,US,2021-04-23 00:19:48,38.6001,-77.1622,50.0,27,75,6.91
102,Katangli,RU,2021-04-23 00:22:54,51.7102,143.2326,43.41,81,88,7.4
103,Ribeira Grande,PT,2021-04-23 00:22:54,38.5167,-28.7,57.38,76,48,35.54
104,Nantucket,US,2021-04-23 00:21:33,41.2835,-70.0995,44.6,39,20,23.02
105,Sao Borja,BR,2021-04-23 00:22:55,-28.6606,-56.0044,68.63,67,92,6.42
106,Klaksvik,FO,2021-04-23 00:18:38,62.2266,-6.589,41.0,87,75,5.26
107,Kupang,ID,2021-04-23 00:22:55,-10.1667,123.5833,79.52,76,7,2.93
108,Cayenne,GF,2021-04-23 00:18:43,4.9333,-52.3333,78.8,89,75,9.22
109,Kruisfontein,ZA,2021-04-23 00:22:56,-34.0033,24.7314,64.0,86,1,3.0
110,Visby,SE,2021-04-23 00:22:56,57.6409,18.296,37.4,87,90,10.36
111,Kristianstad,SE,2021-04-23 00:22:56,56.0313,14.1524,41.0,70,90,10.36
112,Japura,ID,2021-04-23 00:22:57,-0.3167,102.35,73.04,97,100,2.17
113,Adrar,MR,2021-04-23 00:22:13,20.5022,-10.0711,77.58,13,0,11.63
114,Eureka,US,2021-04-23 00:19:38,40.8021,-124.1637,57.0,71,31,5.99
115,Tuktoyaktuk,CA,2021-04-23 00:18:50,69.4541,-133.0374,12.2,73,75,5.75
116,Chuy,UY,2021-04-23 00:21:51,-33.6971,-53.4616,65.62,82,30,11.83
117,Guaymitas,HN,2021-04-23 00:22:57,15.4979,-87.7147,86.0,65,40,12.66
118,Pacifica,US,2021-04-23 00:22:58,37.6138,-122.4869,55.4,87,90,11.5
119,Arraial Do Cabo,BR,2021-04-23 00:22:29,-22.9661,-42.0278,69.8,94,40,6.91
120,Fez,MA,2021-04-23 00:22:58,34.0372,-4.9998,57.2,82,0,2.3
121,Balabac,PH,2021-04-23 00:22:58,7.9868,117.0645,81.91,77,100,10.45
122,Saint-Pierre,RE,2021-04-23 00:20:41,-21.3393,55.4781,75.2,83,90,10.36
123,Khatanga,RU,2021-04-23 00:22:59,71.9667,102.5,25.65,92,100,14.92
124,Zharkent,KZ,2021-04-23 00:22:59,44.1628,80.0,36.95,49,0,5.95
125,Kavieng,PG,2021-04-23 00:19:04,-2.5744,150.7967,82.89,71,93,6.46
126,Nome,US,2021-04-23 00:22:59,64.5011,-165.4064,44.6,49,40,8.05
127,Lompoc,US,2021-04-23 00:19:36,34.6391,-120.4579,55.4,67,41,16.11
128,Carnarvon,AU,2021-04-23 00:18:01,-24.8667,113.6333,66.2,63,37,6.91
129,Iqaluit,CA,2021-04-23 00:23:00,63.7506,-68.5145,23.0,80,90,4.92
130,Jalalabad,AF,2021-04-23 00:23:00,34.4265,70.4515,61.3,21,0,6.22
131,Avera,US,2021-04-23 00:23:01,33.194,-82.5271,57.2,33,1,2.37
132,Chokurdakh,RU,2021-04-23 00:18:56,70.6333,147.9167,2.98,93,92,6.02
133,Ahuimanu,US,2021-04-23 00:23:01,21.4447,-157.8378,84.2,61,1,13.8
134,Esperance,AU,2021-04-23 00:23:01,-33.8667,121.9,55.4,100,100,12.66
135,Jamestown,US,2021-04-23 00:19:09,42.097,-79.2353,35.01,93,75,12.66
136,Magadan,RU,2021-04-23 00:23:02,59.5667,150.8,30.58,98,100,5.73
137,Mangrol,IN,2021-04-23 00:23:02,21.1167,70.1167,79.12,78,100,8.14
138,Kaduqli,SD,2021-04-23 00:23:02,11.0167,29.7167,81.01,46,69,3.22
139,Georgetown,MY,2021-04-23 00:23:03,5.4112,100.3354,75.99,94,40,4.61
140,Anadyr,RU,2021-04-23 00:23:03,64.75,177.4833,15.8,92,0,11.18
141,Kovdor,RU,2021-04-23 00:23:03,67.5662,30.4758,27.55,95,100,5.57
142,Norman Wells,CA,2021-04-23 00:23:03,65.282,-126.8329,28.4,59,75,11.5
143,Saint-Augustin,CA,2021-04-23 00:23:04,51.226,-58.6502,43.18,89,100,29.68
144,Buraydah,SA,2021-04-23 00:23:04,26.326,43.975,75.2,23,20,6.91
145,Dong Hoi,VN,2021-04-23 00:23:04,17.4833,106.6,78.84,88,26,3.27
146,Codrington,AU,2021-04-23 00:23:05,-38.2667,141.9667,57.13,68,100,13.15
147,Atuona,PF,2021-04-23 00:23:05,-9.8,-139.0333,80.76,78,81,20.56
148,Harrow,GB,2021-04-23 00:23:05,51.5714,-0.3337,42.01,87,6,4.61
149,Vila Velha,BR,2021-04-23 00:18:16,-20.3297,-40.2925,75.2,78,75,9.22
150,Sorong,ID,2021-04-23 00:23:06,-0.8833,131.25,81.27,79,77,3.56
151,Tuatapere,NZ,2021-04-23 00:23:06,-46.1333,167.6833,57.0,74,100,8.01
152,Sola,VU,2021-04-23 00:23:06,-13.8833,167.55,82.4,100,94,3.44
153,Douentza,ML,2021-04-23 00:23:06,14.9951,-2.9517,89.1,14,82,2.95
154,Ahipara,NZ,2021-04-23 00:23:07,-35.1667,173.1667,68.11,71,94,9.37
155,Fortuna,US,2021-04-23 00:23:07,40.5982,-124.1573,55.0,76,1,14.97
156,Mehamn,NO,2021-04-23 00:23:07,71.0357,27.8492,32.25,78,98,1.03
157,Namibe,AO,2021-04-23 00:23:08,-15.1961,12.1522,79.32,81,73,0.29
158,Chickasha,US,2021-04-23 00:23:08,35.0526,-97.9364,50.0,71,90,10.36
159,Horizontina,BR,2021-04-23 00:23:08,-27.6258,-54.3078,64.99,86,98,3.29
160,Prieska,ZA,2021-04-23 00:23:09,-29.6641,22.7474,65.73,29,3,8.14
161,Seoul,KR,2021-04-23 00:19:27,37.5683,126.9778,64.4,55,0,8.05
162,Bastia,FR,2021-04-23 00:23:09,42.6667,9.3333,53.01,87,0,2.3
163,Praia Da Vitoria,PT,2021-04-23 00:23:09,38.7333,-27.0667,57.2,77,75,28.92
164,Karla,EE,2021-04-23 00:23:10,59.3723,24.9275,39.0,93,90,3.44
165,Lorengau,PG,2021-04-23 00:23:10,-2.0226,147.2712,82.69,78,100,3.96
166,Port-Gentil,GA,2021-04-23 00:23:10,-0.7193,8.7815,77.04,87,100,9.78
167,Ancud,CL,2021-04-23 00:23:10,-41.8697,-73.8203,51.01,100,90,4.61
168,Mezen,RU,2021-04-23 00:23:11,65.8522,44.24,34.09,97,83,9.46
169,Weligama,LK,2021-04-23 00:23:11,5.9667,80.4167,78.06,87,34,8.57
170,Oistins,BB,2021-04-23 00:20:32,13.0667,-59.5333,78.8,65,20,20.71
171,Airai,TL,2021-04-23 00:20:33,-8.9266,125.4092,67.96,65,25,1.68
172,Trelew,AR,2021-04-23 00:20:31,-43.249,-65.3051,57.83,47,15,3.49
173,Satuk,TR,2021-04-23 00:23:12,41.2263,32.3836,44.64,84,21,4.76
174,Ulcinj,ME,2021-04-23 00:23:12,41.9294,19.2244,42.01,96,100,1.99
175,Upernavik,GL,2021-04-23 00:23:12,72.7868,-56.1549,19.11,90,100,5.7
176,Stabat,ID,2021-04-23 00:23:13,3.761,98.4513,77.0,100,40,3.44
177,Oranjemund,NA,2021-04-23 00:23:13,-28.55,16.4333,59.72,88,0,4.63
178,College,US,2021-04-23 00:19:01,64.8569,-147.8028,54.0,28,1,12.66
179,Srednekolymsk,RU,2021-04-23 00:23:13,67.45,153.6833,16.11,81,97,5.23
180,Wanning,CN,2021-04-23 00:21:30,18.8003,110.3967,79.86,78,46,6.55
181,Atar,MR,2021-04-23 00:23:14,20.5169,-13.0499,78.69,13,0,7.49
182,Tautira,PF,2021-04-23 00:23:14,-17.7333,-149.15,86.0,66,20,9.22
183,Ampanihy,MG,2021-04-23 00:23:14,-24.7,44.75,67.14,85,1,8.66
184,Faanui,PF,2021-04-23 00:23:15,-16.4833,-151.75,81.05,74,13,14.9
185,Tigil,RU,2021-04-23 00:23:15,57.8,158.6667,35.87,92,99,3.31
186,Bar Harbor,US,2021-04-23 00:23:15,44.3876,-68.2039,35.01,55,90,13.8
187,Tula,RU,2021-04-23 00:19:59,54.2044,37.6111,45.57,85,59,9.46
