City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
268,Carauari,BR,79.97,overcast clouds,-4.8828,-66.8958,Hotel Fellip
278,Inhambane,MZ,77.0,clear sky,-23.865,35.3833,Oceano
279,Kahului,US,75.99,clear sky,20.8947,-156.47,Maui Seaside Hotel
281,Saint-Paul,RE,75.2,moderate rain,-21.0096,55.2707,Boucan Canot
293,Dwarka,IN,81.18,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
299,Faanui,PF,81.19,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
301,Salalah,OM,84.2,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
305,Nortelandia,BR,84.99,few clouds,-14.4547,-56.8028,Hotel Karysmã
308,Coruripe,BR,82.24,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
312,Vila Velha,BR,82.99,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
321,Najran,SA,75.2,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
322,Port Blair,IN,81.73,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
324,Phangnga,TH,77.0,few clouds,8.4509,98.5298,Sunimit Mansion
329,Daru,PG,78.46,overcast clouds,-9.0763,143.2092,Daru Lodge
336,Wanlaweyn,SO,83.57,overcast clouds,2.6185,44.8938,GAASHAAN HOME
337,Kirakira,SB,78.31,overcast clouds,-10.4544,161.9205,SanBiz Lodge
340,Bengkulu,ID,75.51,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
341,Viedma,AR,76.89,clear sky,-40.8135,-62.9967,Hotel Cristal
343,Santa Cruz,BO,78.8,few clouds,-17.8,-63.1667,Aviador Hotel Boutique
346,Mitsamiouli,KM,81.21,few clouds,-11.3847,43.2844,Foyer ADM
348,Sabzevar,IR,78.17,scattered clouds,36.2126,57.6819,پزشکی قانونی سبزوار
353,Vallenar,CL,76.89,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
354,Kokopo,PG,76.14,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
355,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
356,Bairiki,KI,78.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
360,Sao Gabriel Da Cachoeira,BR,80.6,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
370,Kavieng,PG,81.93,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
373,Namibe,AO,76.41,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
375,Santa Isabel Do Rio Negro,BR,84.81,scattered clouds,-0.4139,-65.0192,Hotel GSA
382,Praya,CV,77.0,scattered clouds,14.9215,-23.5087,LT Aparthotel
383,Tabas,IR,82.15,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
384,Puerto Baquerizo Moreno,EC,84.2,few clouds,-0.9,-89.6,Hotel los Algarrobos
393,San Martin De Las Piramides,MX,82.4,few clouds,19.7,-98.8333,Villas Teotihuacan Hotel SPA
395,Quatre Cocos,MU,78.01,moderate rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
401,Porto Walter,BR,80.71,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
405,Harper,LR,81.68,broken clouds,4.375,-7.7169,Screensaver
413,Gwadar,PK,83.93,overcast clouds,25.1216,62.3254,Sadaf Resort
416,Asyut,EG,75.2,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
417,La Asuncion,VE,75.2,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
418,Tautira,PF,82.4,few clouds,-17.7333,-149.15,Pension Oaoa
